BUSINESS,BUSINESS_TAGS,TIME,WEEKDAY,OCCURRENCE_TYPES,NEIGHBORHOOD,ADDRESS_STREET,ADDRESS_UNIT,ADDRESS_CITY,ADDRESS_STATE,ADDRESS_ZIP,PRIZE_1_TYPE,PRIZE_1_AMOUNT,PRIZE_2_TYPE,PRIZE_2_AMOUNT,PRIZE_3_TYPE,PRIZE_3_AMOUNT,HOST,EVENT_TYPE,Full Address,Latitude,Longitude
OTHER HALF,"BREWERY,RESTAURANT",6:30 PM,WEDNESDAY,,FISHTOWN,1002 CANAL ST,,PHILADELPHIA,PA,19123,,,,,,,,QUIZZO,"1002 CANAL ST, PHILADELPHIA, PA, 19123",39.9648491,-75.1350634
CHESTNUT HILL BREWING COMPANY,"BREWERY,RESTAURANT",7:00 PM,WEDNESDAY,,CHESTNUT HILL,8231 GERMANTOWN AVE,,PHILADELPHIA,PA,19118,GROWLER,1.0,,,,,,QUIZZO,"8231 GERMANTOWN AVE, PHILADELPHIA, PA, 19118",40.073592,-75.2028298
VICTORY BREWING COMPANY,"BREWERY,RESTAURANT",6:30 PM,MONDAY,,CENTER CITY,1776 BEN FRANKLIN PARKWAY,,PHILADELPHIA,PA,19103,GIFT_CARD,50.0,GIFT_CARD,25.0,BEER_SIX_PACK,1.0,,QUIZZO,"1776 BEN FRANKLIN PARKWAY, PHILADELPHIA, PA, 19103",41.0333063,-80.4006399
WELL CRAFTED BEER COMPANY,"BREWERY,RESTAURANT",7:30 PM,THURSDAY,,,310 MADISON ST,,LANSDALE,PA,19446,,,,,,,,QUIZZO,"310 MADISON ST, LANSDALE, PA, 19446",40.2437935,-75.2865272
ANIMATED BREWING,"BREWERY,RESTAURANT",7:00 PM,WEDNESDAY,,,255 MT AIRY RD,,COATESVILLE,PA,19320,,,,,,,,QUIZZO,"255 MT AIRY RD, COATESVILLE, PA, 19320",39.9927805,-75.8305739
EAST BRANCH BREWING CO,"BREWERY,RESTAURANT",7:00 PM,WEDNESDAY,,,202 E LANCASTER AVE,,DOWNINGTOWN,PA,19335,GIFT_CARD,30.0,,,,,,QUIZZO,"202 E LANCASTER AVE, DOWNINGTOWN, PA, 19335",40.0067258,-75.700761
HUMAN ROBOT JENKINTOWN,"BREWERY,RESTAURANT",7:00 PM,WEDNESDAY,,,208 YORK RD,,JENKINTOWN,PA,19046,,,,,,,,QUIZZO,"208 YORK RD, JENKINTOWN, PA, 19046",40.0946043,-75.12524
WORKHORSE BREWING COMPANY,"BREWERY,RESTAURANT",6:30 PM,TUESDAY,,,250 KING MANOR DR,SUITE 300,KING OF PRUSSIA,PA,19406,,,,,,,,QUIZZO,"250 KING MANOR DR, SUITE 300, KING OF PRUSSIA, PA, 19406",40.0914317,-75.3504214
MIDNIGHT OIL BREWING COMPANY,"BREWERY,RESTAURANT",7:00 PM,TUESDAY,,,74 PENCADER DR,,NEWARK,DE,19702,,,,,,,,QUIZZO,"74 PENCADER DR, NEWARK, DE, 19702",39.6119712,-75.7616813
STABLE 12 BREWING CO.,"BREWERY,RESTAURANT",7:00 PM,WEDNESDAY,,,368 BRIDGE ST,,PHOENIXVILLE,PA,19460,,,,,,,,QUIZZO,"368 BRIDGE ST, PHOENIXVILLE, PA, 19460",40.1329749,-75.5207887
STICKMAN BREWS,"BREWERY,RESTAURANT",7:00 PM,THURSDAY,,,326 N LEWIS RD,#240,ROYERSFORD,PA,19468,,,,,,,,QUIZZO,"326 N LEWIS RD, #240, ROYERSFORD, PA, 19468",40.1958049,-75.5340481
IMPRINT BEER CO.,"BREWERY,RESTAURANT,ARCADE,CANTINA",7:00 PM,THURSDAY,"SECOND_OF_MONTH,FOURTH_OF_MONTH",,1500 INDUSTRY RD,STE R,HATFIELD,PA,19440,,,,,,,LUNCH MONEY QUIZZO,QUIZZO,"1500 INDUSTRY RD, STE R, HATFIELD, PA, 19440",40.2628979,-75.2827984
STOLEN SUN BREWING AND ROASTING,"BREWERY,ROASTERY",6:30 PM,WEDNESDAY,,,342 N POTTSTOWN PIKE,SUITE B,EXTON,PA,19341,,,,,,,SHAMUS HALLORAN,QUIZZO,"342 N POTTSTOWN PIKE, SUITE B, EXTON, PA, 19341",40.0541068,-75.6405673
SHADY BROOK FARM,FARMERS_MARKET,7:00 PM,WEDNESDAY,,,931 STONY HILL RD,,YARDLEY,PA,19067,,,,,,,EMILY AND JOE,QUIZZO,"931 STONY HILL RD, YARDLEY, PA, 19067",40.2272354,-74.8862943
SANTUCCI'S,PIZZERIA,7:00 PM,WEDNESDAY,,WEST POPLAR,655 N BROAD ST,,PHILADELPHIA,PA,19123,,,,,,,SJK,QUIZZO,"655 N BROAD ST, PHILADELPHIA, PA, 19123",39.965878,-75.160545
RAMS PIZZA,PIZZERIA,8:00 PM,TUESDAY,,,25 E BROADWAY AVE,,CLIFTON HEIGHTS,PA,19018,,,,,,,,QUIZZO,"25 E BROADWAY AVE, CLIFTON HEIGHTS, PA, 19018",39.9284343,-75.2940756
PAPPOUS PIZZA PUB,"PIZZERIA,BAR",8:00 PM,THURSDAY,,,415 BALTIMORE PIKE,,MORTON,PA,19070,,,,,,,,QUIZZO,"415 BALTIMORE PIKE, MORTON, PA, 19070",39.9177693,-75.3956985
TONELLI'S,"PIZZERIA,BAR",7:00 PM,TUESDAY,,,278 EASTON RD,,HORSHAM,PA,19044,,,,,,,,QUIZZO,"278 EASTON RD, HORSHAM, PA, 19044",40.1770278,-75.128112
NICK'S ROAST BEEF WOODHAVEN,RESTAURANT,8:00 PM,THURSDAY,,PARKWOOD,4501 WOODHAVEN RD,,PHILADELPHIA,PA,19154,,,,,,,,QUIZZO,"4501 WOODHAVEN RD, PHILADELPHIA, PA, 19154",40.0964963,-74.9833713
NICK'S ROAST BEEF COTTMAN,RESTAURANT,8:00 PM,WEDNESDAY,,NORTHEAST PHILADELPHIA,2210 COTTMAN AVE,,PHILADELPHIA,PA,19149,,,,,,,,QUIZZO,"2210 COTTMAN AVE, PHILADELPHIA, PA, 19149",40.0488597,-75.0620491
OLD ORIGINAL NICK'S ROAST BEEF,RESTAURANT,8:00 PM,TUESDAY,,WEST PASSYUNK,2149 S 20TH ST,,PHILADELPHIA,PA,19145,,,,,,,,QUIZZO,"2149 S 20TH ST, PHILADELPHIA, PA, 19145",39.9244591,-75.1792806
SIDE CAR BAR,"RESTAURANT,BAR",8:00 PM,SUNDAY,,GRADUATE HOSPITAL,2201 CHRISTIAN ST,,PHILADELPHIA,PA,19146,,,,,,,3WAYQUIZZO,QUIZZO,"2201 CHRISTIAN ST, PHILADELPHIA, PA, 19146",39.9418395,-75.179463
INTERSTATE DRAFTHOUSE,"RESTAURANT,BAR",8:00 PM,TUESDAY,,FISHTOWN,1235 E PALMER ST,,PHILADELPHIA,PA,19125,,,,,,,ANXIOUS MILLENIAL QUIZZO,QUIZZO,"1235 E PALMER ST, PHILADELPHIA, PA, 19125",39.9718411,-75.1286626
MIFFLIN TAVERN,"RESTAURANT,BAR",6:30 PM,TUESDAY,,PENNSPORT,1843 S 2ND ST,,PHILADELPHIA,PA,19148,,,,,,,DJ DENIM,QUIZZO,"1843 S 2ND ST, PHILADELPHIA, PA, 19148",39.924378,-75.1498531
GREAT AMERICAN PUB (CONSHOHOCKEN),"RESTAURANT,BAR",8:00 PM,WEDNESDAY,,,123 FAYETTE ST,,CONSHOHOCKEN,PA,19428,,,,,,,DJ GADGET,QUIZZO,"123 FAYETTE ST, CONSHOHOCKEN, PA, 19428",40.0743514,-75.3053081
PJ'S NEWTOWN SQUARE,"RESTAURANT,BAR",7:30 PM,TUESDAY,,,4803 WEST CHESTER PIKE,,NEWTOWN SQUARE,PA,19073,,,,,,,DJMUVE,QUIZZO,"4803 WEST CHESTER PIKE, NEWTOWN SQUARE, PA, 19073",39.9767167,-75.4382878
