Name,Address,RW_URL,Website,RW_PHOTO,RW_DETAILS,RW_DEALS,RW_MENU,RESERVATION_LINK
Double Knot,"120 S 13th St. , Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#doubleknot,https://www.doubleknotphilly.com,https://centercityphila.org/uploads/attachments/cl4r5g8k2025mtvqdw59b7qgf-double-knot.0.1350.5213.5213.full.jpg,"Participating in dinner only. Offering indoor dining. Not participating on Saturday, January 27 and Saturday, February 3. ",$45 dinner menu coming soon.,,
Drury Beer Garden (DBG),"1311 Sansom St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#drury-beer-garden-dbg,http://www.drurybeergarden.com,https://centercityphila.org/uploads/attachments/cj3g7jera020n1jqd0izpwsm3-opa-and-drurybeergarden.10.0.1222.1222.full.jpg,Participating in dinner and takeout. Offering indoor and outdoor dining. Closed Mondays and Tuesdays. ,$45 dinner menu coming soon.,,https://www.opentable.com/restaurant/profile/65131/reserve?ref=939
Entrée BYOB,"1608 South St, Philadelphia, PA 19146",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#entrée-byob,http://www.entreebyob.com,https://centercityphila.org/uploads/attachments/cj62hjdal00rhp7qdvt7plrk2-entree-rw.0.0.1200.1200.full.jpg, Participating in dinner and takeout. Offering indoor and outdoor dining. BYOB. Closed Mondays. ,$45 DINNER,https://centercityphila.org/uploads/attachments/clr52xcx91s4gc3qdtp0iytck-entree.pdf,https://www.opentable.com/restaurant/profile/111997/reserve?ref=939
Estia Restaurant,"1405 Locust Street, Philadelphia, PA 19102",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#estia-restaurant,,https://centercityphila.org/uploads/attachments/civfpuwv100v7mpqdo7vswpa6-estia-2.263.0.674.674.full.jpg,Participating in dinner only. Offering indoor and outdoor dining. . Credit card required for parties of six or more. ,$60 DINNER,https://centercityphila.org/uploads/attachments/clqzkgueg1j6dhjqd2r2s8a9n-estia.pdf,https://www.opentable.com/restaurant/profile/5989/reserve?ref=939
Fat Salmon,"719 Walnut Street, Philadelphia, PA 19106",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#fat-salmon1,http://www.fatsalmonsushi.com,https://centercityphila.org/uploads/attachments/cjpwvc0ug1qydphqd4wh8pr5u-fatsalmonpic.1696.0.2988.2988.full.jpg,Participating in dinner only. Offering indoor dining. Closed on Mondays. ,$45 DINNER,https://centercityphila.org/uploads/attachments/clr9nsl4520f6qoqdwh824enj-fatsalmon.pdf,
Flambo Caribbean Restaurant,"205 S 13th St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#flambo-caribbean-restaurant,http://www.flamboh.com,https://centercityphila.org/uploads/attachments/clic5zzhv72e5ypqdft5pjswi-flambo-exterior.0.510.2859.2859.full.jpg,"Participating in lunch, dinner, and takout. Offering indoor dining. No parties larger than 8 people. Reservations are suggested. ",$45 dinner menu coming soon.,,
Fork,"306 Market Street, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#fork,,https://centercityphila.org/uploads/attachments/ckdrwnnm12h0fkxqd04v0b3hd-fork-august-table.0.646.2724.2724.full.jpg,"Participating in dinner only. Offering indoor dining. Closed Monday. Not participating on Saturday, January 27 and Saturday, February 3. 20% service charge added to every check. ",$60 dinner menu coming soon.,,https://www.opentable.com/restaurant/profile/20035/reserve?ref=939
Forsythia,"233 Chestnut Street, Philadelphia, PA 19105",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#forsythia,https://www.forsythiaphilly.com,https://centercityphila.org/uploads/attachments/ck58d6i2b2djp0xqdlkjg2pny-forsythia-sept-2019-167.960.0.3840.3840.full.jpg,Participating in dinner only. Offering indoor dining. Please call restaurant for reservations of parties of 5 or larger. ,$45 dinner menu coming soon. ,,
Franklin Social Kitchen & Bar,"401 Chestnut St, Philadelphia, PA 19106",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#franklin-social-kitchen-bar,https://www.franklinsocialphilly.com,https://centercityphila.org/uploads/attachments/clbfctiru70f4uqqd88ofi4e1-franklinpic.277.0.944.944.full.jpg,"Participating in lunch, dinner and takeout. Offering indoor dining. Can accomodate parties up to 8 people. ",$45 DINNER | $20 LUNCH,https://centercityphila.org/uploads/attachments/clqbfd09m0mqdhjqdqfsxy4o3-franklin-social-dinner.pdf,https://www.opentable.com/restaurant/profile/1005361/reserve?ref=939
Fringe Bar,"140 N Christopher Columbus Blvd, Philadelphia, PA 19106",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#fringe-bar,https://fringebarphilly.com,https://centercityphila.org/uploads/attachments/clkx6hiz2a3tijnqd33nsxut3-fringe-interior.28.0.2000.2000.full.jpg,Participating in dinner only. Offering indoor and outdoor dining. Closed Monday and Tuesday. ,$45 dinner menu coming soon.,,https://www.opentable.com/restaurant/profile/1281529/reserve?ref=939
Fuji Mountain,"2030 Chestnut St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#fuji-mountain,http://www.fujimt.com,https://centercityphila.org/uploads/attachments/cj0y73bxs0dliz7qd3xrri63j-fujimtbar-room.499.77.1006.1006.full.jpg,Participating in dinner only. Offering indoor dining. Reservations required for parties of 4 or more. ,$45 DINNER,https://centercityphila.org/uploads/attachments/clr7wuiph1x53c3qdjv6u4sli-fuji.pdf,https://www.opentable.com/restaurant/profile/66013/reserve?ref=939
Garden Grille and Bar,"1100 Arch St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#garden-grille-and-bar,http://www.philadelphiaCenterCity.HGI.com,https://centercityphila.org/uploads/attachments/clcun3west340szqd43etxzgq-garden-grille.233.154.1070.1070.full.jpg,Participating in dinner only. Offering indoor dining. Can accomodate large parties. ,$45 DINNER,https://centercityphila.org/uploads/attachments/clqfbemgz0s0055qdbeu724cm-gardengrill.pdf,https://www.opentable.com/restaurant/profile/1259788/reserve?ref=939
Giuseppe and Sons,"1523 Sansom St, Philadelphia, PA 19102",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#giuseppe-and-sons,https://giuseppesons.com,https://centercityphila.org/uploads/attachments/cjqicsqg12qgxpbqdqzmao2gi-gsinteriors-83.1660.0.5071.5071.full.jpg,"Participating in dinner only. Offering indoor dining. Not participating on Saturday, January 27 and Saturday, February 3. ",$45 dinner menu coming soon.,,
The Goat Rittenhouse,"1907 Sansom St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#the-goat-rittenhouse,https://www.thegoatrittenhouse.com,https://centercityphila.org/uploads/attachments/cl448gtnv1383u2qdorywe1jq-thegoat.0.71.1170.1170.full.jpg,Participating in dinner only. Offering indoor and outdoor dining. ,$45 dinner menu coming soon.,,
Gran Caffe L'Aquila,"1716 Chestnut St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#gran-caffe-l-aquila,http://grancaffelaquila.com,https://centercityphila.org/uploads/attachments/ckea7wbce2uhykxqd95mjcpxy-d8b02824-5f8f-4d3c-8aa3-1947ecc645ff.289.0.729.729.full.jpg," Participating in lunch, dinner and takeout. Offering indoor and outdoor dining. Parties of 10+ will be required to be accompanied by a deductible deposit of $100. RESTAURANT WEEK MENUS: $45 DINNER | $20 LUNC",,https://centercityphila.org/uploads/attachments/clpr3jnwf1uavo6qd8n06uy4f-grancaffedinner.pdf,https://www.opentable.com/restaurant/profile/1177819/reserve?ref=939
Hard Rock Cafe,"1113 Market St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#hard-rock-cafe,https://www.hardrockcafe.com/location/philadelphia,https://centercityphila.org/uploads/attachments/cjx3k77o530vhvxqdgft1s60k-sipsgraphic.0.0.720.720.full.jpg,"Participating in lunch, dinner and takeout. Offering indoor dining. ",$45 DINNER | $20 LUNCH,https://centercityphila.org/uploads/attachments/clqzkwfc51jjmc3qdefw7n616-hardrockdinner-1.pdf,https://www.opentable.com/restaurant/profile/192508/reserve?ref=939
Harp & Crown,"1525 Sansom St, Philadelphia, PA 19102",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#harp-crown1,http://harpcrown.com,https://centercityphila.org/uploads/attachments/ciygaumsv0klnuwqdo25fk4z6-20161118harp-crown-brighter-17.301.0.1800.1800.full.jpg,"Participating in dinner only. Offering indoor dining. Not participating on Saturday, January 27 and Saturday, February 3. ",$45 dinner menu coming soon.,,
Harper's Garden,"31 S. 18th Street, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#harpers-garden6,https://harpersgardenphilly.com,https://centercityphila.org/uploads/attachments/cjzin27881gsenpqdisp1qbb0-hg-veranda-night.179.0.721.721.full.jpg,"Participating in dinner only. Offering indoor and outdoor dining. Not participating on Saturday, January 27 and Saturday, February 3. ",$45 DINNER ,https://centercityphila.org/uploads/attachments/clqwvitl01eb2afqdfb0e1552-harper-s-garden.pdf,
