Bar,Drink,Predicted Item,Price,Sips Deal
Devil's Alley,Bud Light,Bud Light,$5,Y
Devil's Alley,Estralla Jalisco,Estralla Jalisco,$5,Y
Dim Sum House by Jane G's,Hibiscus Margarita,Margarita,$7,Y
Dim Sum House by Jane G's,Starwberry Margarita,Margarita,$7,Y
Dim Sum House by Jane G's,House White,White,$6,Y
Dim Sum House by Jane G's,House Red,Red,$6,Y
Dim Sum House by Jane G's,New Trails Crisp Lager,New Trails Crisp Lager,$5,Y
Dolce Italian,Italian Paloma,Hugo,$7,Y
Dolce Italian,Rose',Rosé,$6,Y
Dolce Italian,Pinot Grigio,Pinot Gris / Pinot Grigio,$6,Y
Dolce Italian,Barbera D'Asti,Barbera,$6,Y
Dolce Italian,Sauvignon Blanc,Sauvignon Blanc,$6,Y
Dolce Italian,Cabernet Sauvignon,Cabernet Sauvignon,$6,Y
Dolce Italian,Peroni,Peroni,$5,Y
Dolce Italian,Yards Summer Crush,Yards Summer Crush,$5,Y
Double Knot,"Sheet Bend: Hornitos Tequila, amarena, lime",Sheet Bend,$7,Y
Double Knot,"Barrel Hitch: bourbon, blackberry, lemon",Barrel Hitch,$7,Y
Double Knot,House red wine,Red,$6,Y
Double Knot,House white wine,Vermentino,$6,Y
Double Knot,House rose,Rosé,$6,Y
Double Knot,Montucky Cold Snacks Lage,Montucky Cold Snacks,$5,Y
Drinker's Pub,Hornitos Paloma,Paloma,$7,Y
Drinker's Pub,Pinot Grigio,Pinot Gris / Pinot Grigio,$6,Y
Drinker's Pub,Pinot Noir,Pinot Noir,$6,Y
Drury Beer Garden (DBG),"Sansom St Mule: vodka, lime, ginger beer",Moscow Mule,$7,Y
Drury Beer Garden (DBG),"Hornitos Pear Margarita: tequila, pear, lime, club",Margarita,$7,Y
Drury Beer Garden (DBG),House White,White,$6,Y
Drury Beer Garden (DBG),House Red,Red,$6,Y
Drury Beer Garden (DBG),Modelo Especial lager,Modelo,$5,Y
Drury Beer Garden (DBG),Kona Big Wave golden ale,Kona Big Wave,$5,Y
Fado Irish Pub,Mango Jalapeño Margarita,Margarita,$7,Y
Fado Irish Pub,Sycamore Lane Chardonnay 6oz glass,Chardonnay,$6,Y
Fado Irish Pub,Modelo,Modelo,$5,Y
Fahrenheit 451 Pizza and Bar,Margarita,Margarita,$7,Y
Fahrenheit 451 Pizza and Bar,House wines,White,$6,Y
Flambo Caribbean Restaurant,"Hornitos and select vodka, gin and rum cocktails",Gin and Tonic,$7,Y
Flambo Caribbean Restaurant,Chardonnay,Chardonnay,$6,Y
Flambo Caribbean Restaurant,Cabernet,Cabernet Sauvignon,$6,Y
Giovani's Bar & Grill,Gio's Tea,Gio's Tea,$7,Y
Giovani's Bar & Grill,Pinot Grigio,Pinot Gris / Pinot Grigio,$6,Y
Giovani's Bar & Grill,Michelob Ultra,Michelob Ultra,$5,Y
Giuseppe and Sons,"La Grenada Hornitos Tequila, Pomegranate, Soda Hotel Nacional Rum, Pineapple, Apricot",La Grenada,$7,Y
Giuseppe and Sons,Vino Rosso,Vino Rosso,$6,Y
Giuseppe and Sons,Vino Bianco,Vino Bianco,$6,Y
The Goat Rittenhouse,Pomegranate Margarita,Margarita,$7,Y
The Goat Rittenhouse,Spinelli Pinot Grigio,Pinot Gris / Pinot Grigio,$6,Y
The Goat Rittenhouse,Arizona Hard Ice Tea,Arizona Hard Ice Tea,$5,Y
Gran Caffe L'Aquila,Margarita Calabrese,Margarita,$7,Y
Gran Caffe L'Aquila,"Hornitos Tequila, Caffo Orange Liqueur, Lemon, Limoncello Kiss.",Rosemarina,$7,Y
Gran Caffe L'Aquila,"Hugo: The cocktail of Italian summer Prosecco, Fresh Mint, Elderflower",Hugo,$7,Y
Gran Caffe L'Aquila,"Aperol Spritz: The official Aperitivo of Italy! Prosecco, Aperol & a spritz of club soda",Aperol Spritz,$7,Y
Gran Caffe L'Aquila,Vino Bianco: Falanghina sannino,Vino Bianco,$6,Y
Gran Caffe L'Aquila,Vino Rosso: Veneto rosso,Vino Rosso,$6,Y
Gran Caffe L'Aquila,Peroni (Lombardia) 5.10% the original Italian lager. a high quality malt and hop lager,Peroni,$5,Y
Hard Rock Cafe,Hornitos Jalapeno Infused Spicy Margarita,Margarita,$7,Y
Hard Rock Cafe,White Peach Sangria,White,$7,Y
Hard Rock Cafe,House wine,Vermentino,$6,Y
Harp & Crown,"The Secret Garden Hornitos Tequila, Watermelon, Lime",The Secret Garden,$7,Y
Harp & Crown,House Cocktail,Hugo,$7,Y
The Hayes,Hornitos Tequila Margarita,Margarita,$7,Y
The Hayes,White,White,$6,Y
The Hayes,Rose,Rosé,$6,Y
The Hayes,Red,Red,$6,Y
The Hayes,Coors Light Draft,Coors Light,$5,Y
The Hayes,Pacifico,Pacifico,$5,Y
The Hayes,Miller High Life,Miller High Life,$5,Y
The Hayes,Michelob Ultra,Michelob Ultra,$5,Y
Independence Beer Garden,"Paloma Hornitos tequila, grapefruit, soda",Paloma,$7,Y
Independence Beer Garden,"Down the Shore Vodka, Raspberry, Lemon",Martini,$7,Y
Independence Beer Garden,House Red,Red,$6,Y
Independence Beer Garden,House Rose,Rosé,$6,Y
Independence Beer Garden,House White,White,$6,Y
Independence Beer Garden,Miller High Life draft,Miller High Life,$5,Y
Iron Hill Brewery & Restaurant,"Margarita: Hornitos Plata, Triple Sec, Sour Mix",Margarita,$7,Y
Iron Hill Brewery & Restaurant,"Mojito: Rum, Lime Juice, Simple Syrup, Mint",Mojito,$7,Y
Iron Hill Brewery & Restaurant,"Vodka Lemonade: Vodka, Triple Sec, House Lemonade",Surfside Lemonade & Vodka,$7,Y
Iron Hill Brewery & Restaurant,"Whiskey Sour: Bourbon, Triple Sec, Sour Mix",Whiskey Sour,$7,Y
Iron Hill Brewery & Restaurant,House Red,Red,$6,Y
Iron Hill Brewery & Restaurant,House White,White,$6,Y
Iron Hill Brewery & Restaurant,House Rose,Rosé,$6,Y
Iron Hill Brewery & Restaurant,Sunny in Pils,Sunny in Pils,$5,Y
Iron Hill Brewery & Restaurant,Iron Hill Light Lager,Iron Hill Light Lager,$5,Y
Iron Hill Brewery & Restaurant,Vienna Red Lager,Vienna Red Lager,$5,Y
Iron Hill Brewery & Restaurant,Brambleberry,Brambleberry,$5,Y
Iron Hill Brewery & Restaurant,Homestead,Homestead,$5,Y
Iron Hill Brewery & Restaurant,Pig Iron Porter,Pig Iron Porter,$5,Y
Kook Burger & Bar,Spicy Peach Margarita,Margarita,$7,Y
Kook Burger & Bar,Echo Bay Sauvignon Blanc,Sauvignon Blanc,$6,Y
Kook Burger & Bar,Philly United,Philly Uniteds,$5,Y
Ladder 15,Hornitos Paloma,Paloma,$7,Y
Ladder 15,Surfside,Surfside Lemonade & Vodka,$7,Y
Ladder 15,Pinot Grigio,Pinot Gris / Pinot Grigio,$6,Y
Ladder 15,Micholob ultra,Michelob Ultra,$5,Y
Leda and the Swan Cocktail Lounge,Raging Bull,Frozen Astronaut,$7,Y
Leda and the Swan Cocktail Lounge,Everyday is a Good Day,Frozen Astronaut,$7,Y
Leda and the Swan Cocktail Lounge,My Passion is Your Passion,Frozen Astronaut,$7,Y
Leda and the Swan Cocktail Lounge,Everyday Rose Seltzer Can,Rosé,$6,Y
Leda and the Swan Cocktail Lounge,Kirin Bottle,Kirin,$5,Y
Leda and the Swan Cocktail Lounge,Kirin Light Bottle,Kirin Light,$5,Y
Little Nonna's,Italian Paloma,Hugo,$7,Y
Little Nonna's,Pinot Grigio,Pinot Gris / Pinot Grigio,$6,Y
Little Nonna's,Montepulciano,Frozen Astronaut,$6,Y
Little Nonna's,Peroni Italian Lager,Peroni,$5,Y
Marathon 16th & Sansom,Blue Margarita,Margarita,$7,Y
Marathon 16th & Sansom,House Merlot,Merlot,$6,Y
Marathon 16th & Sansom,House Chardonnay,Chardonnay,$6,Y
Marathon 16th & Sansom,Michelob Ultra draft,Michelob Ultra,$5,Y
Misconduct Tavern,Paloma,Paloma,$7,Y
Misconduct Tavern,Bud Light,Bud Light,$5,Y
The Mulberry on Arch,Dragonfruit Spritz,Aperol Spritz,$7,Y
The Mulberry on Arch,Rose,Rosé,$6,Y
The Mulberry on Arch,PBR,PBR,$5,Y
The Mulberry on Arch,Solid Gold Founders,Solid Gold Founders,$5,Y
Pagano's Market and Bar,Hornitos Margaritas,Margarita,$7,Y
Patchwork,Tamarind Spritz,Aperol Spritz,$7,Y
Patchwork,House Red,Red,$6,Y
Patchwork,House White,White,$6,Y
The Patio @ Thirteen Restaurant,Hornitos Paloma,Paloma,$7,Y
The Patio @ Thirteen Restaurant,Blue Margarita,Margarita,$7,Y
The Patio @ Thirteen Restaurant,Ginger Rose,Ginger Spirit,$7,Y
The Patio @ Thirteen Restaurant,Pink Champagne Margarita,Margarita,$7,Y
The Patio @ Thirteen Restaurant,Cranberry Moscow Mule,Moscow Mule,$7,Y
The Patio @ Thirteen Restaurant,Woodbridge Chardonnay,Chardonnay,$6,Y
The Patio @ Thirteen Restaurant,Don Miguel Gascon Malbec,Malbec,$6,Y
The Patio @ Thirteen Restaurant,Line 30 California Rosé,Frozen Astronaut,$6,Y
The Patio @ Thirteen Restaurant,Nobilo Sauvignon Blanc,Sauvignon Blanc,$6,Y
The Patio @ Thirteen Restaurant,Mark West Pinot Noir,Pinot Noir,$6,Y
The Patio @ Thirteen Restaurant,Coors Light,Coors Light,$5,Y
The Patio @ Thirteen Restaurant,Miller Light,Miller Lite,$5,Y
The Patio @ Thirteen Restaurant,Michelob Ultra,Michelob Ultra,$5,Y
