Name,Takes Reservations,Offers Delivery,Offers Takeout,Vegan Options,Many Vegetarian Options,Accepts Credit Cards,Accepts Android Pay,Accepts Apple Pay,Accepts Cryptocurrency,Outdoor Seating,Trendy,Classy,Moderate Noise,Casual Dress,Offers Catering,Good for Groups,Good for Dinner,Street Parking,Validated Parking,Free Wi-Fi,Happy Hour Specials,Full Bar,TV,Gender-neutral restrooms,Good For Kids,Bike Parking,Neighborhoods,Yelp Rating,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Casual,Good for Lunch,Dinner,Waiter Service,Best nights on Thursday,Best nights on Friday,Best nights on Saturday,Pool Table,Wi-Fi,Dogs Allowed,Wheelchair Accessible,Heated Outdoor Seating,Private Dining,Happy Hour,Smoking,Covered Outdoor Seating,Reservations,Quiet,Valet Parking,Good For Dancing,Good For Working,Dogs Not Allowed,Takeout,Delivery,Limited Vegetarian Options,Good for Brunch,Garage Parking,Loud,Late Night,Plastic-free packaging,Provides reusable tableware,Walk-ins Welcome,Intimate,Romantic,Upscale,Private Lot Parking,Smoking Outside Only,Offers Military Discount,Open to All,Pescatarian Options,Best nights on Wednesday,Dressy,Keto Options,Drive-Thru,Not Wheelchair Accessible,Good for Breakfast,Lunch,Good for Working,Beer and Wine Only,Best nights on Monday,Best nights on Tuesday,Good For Groups,Very Loud,Good for Late Night,Best nights on Sunday,Dessert,Touristy,Black-owned,Live Music,EV charging station available,DJ,Juke Box,Soy-Free Options,Hipster,Alcohol,Asian-owned,Bring your own container allowed,Compostable containers available,Background Music,All Ages,Latinx-owned,Women-owned,Paid Wi-Fi
Del Frisco's Grille,True,True,True,,True,True,,False,,True,,True,True,,True,True,True,,,True,,True,True,,True,,"['Avenue of the Arts South', 'Washington Square West']",3.1,11:30 AM - 9:00 PM,11:30 AM - 9:00 PM,11:30 AM - 9:00 PM,11:30 AM - 10:00 PM,11:30 AM - 10:30 PM,11:30 AM - 10:30 PM,12:00 PM - 9:00 PM,,,,True,,,True,True,,,,,,,,,,,,True,,False,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devon Seafood Grill,True,True,True,,,True,False,False,,True,,True,True,,False,True,True,True,,,True,True,True,True,True,True,['Rittenhouse Square'],3.7,11:30 AM - 9:00 PM,11:30 AM - 9:00 PM,11:30 AM - 9:00 PM,11:30 AM - 9:00 PM,11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,11:30 AM - 9:00 PM,,,,True,,True,True,True,True,,True,,,,,,,,,True,,False,,,True,,True,,,,,,,,,True,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
El Vez,True,True,True,True,,True,False,True,,True,True,,,,False,True,True,True,,,,True,True,,True,True,,4.0,11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,11:30 AM - 12:00 AM (Next day),11:30 AM - 12:00 AM (Next day),11:30 AM - 10:00 PM,,,,True,,,,,True,,,True,,True,,,,,,,,False,,,True,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entrée BYOB,True,,True,True,,True,,,,True,,True,True,True,True,True,True,True,,True,True,,True,True,True,True,['Rittenhouse Square'],4.3,Closed,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 11:00 PM,5:00 PM - 11:00 PM,2:00 PM - 9:00 PM,True,,,True,,,,,,True,True,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
Estia Restaurant,True,True,True,True,,True,,False,,True,,True,True,,True,True,True,True,,,True,True,True,,True,True,"['Avenue of the Arts South', 'Rittenhouse Square']",4.1,3:00 PM - 8:30 PM,3:00 PM - 8:30 PM,3:00 PM - 8:30 PM,3:00 PM - 8:30 PM,3:00 PM - 9:30 PM,3:00 PM - 9:30 PM,3:00 PM - 8:30 PM,,,,,,,,,True,,,True,,,,True,,,,,,False,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fork,True,True,True,True,,True,,,,True,,True,True,,True,True,True,True,True,True,,True,True,True,True,True,['Old City'],3.9,Closed,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 9:30 PM,,,,True,,,,,,,True,,,True,,,,,,,,False,,,True,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
Forsythia,True,,True,,,True,,,,True,,,True,True,True,True,True,True,,,True,True,True,True,,True,['Old City'],4.4,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 9:00 PM,,,,True,,,,,True,,True,True,True,,,True,,,,,,False,,True,True,,,,,True,True,,,,,,,,,,,,,True,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
Franklin Social Kitchen & Bar,,True,True,,,True,,,,True,,True,,,False,,,True,,True,True,True,True,,,True,,3.5,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,6:30 AM - 10:00 PM,7:00 AM - 2:00 AM (Next day),7:00 AM - 2:00 AM (Next day),7:00 AM - 11:00 PM,,,,True,,,,,,,True,True,True,,True,True,,,,,,,,,,,,,,,True,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fringe Bar,,,,,,True,,,,True,,,,,False,,,,,True,,True,True,,,True,['Penn&#x27;s Landing'],3.3,Closed,Closed,4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,4:00 PM - 1:00 AM (Next day),11:00 AM - 1:00 AM (Next day),11:00 AM - 9:00 PM,,,,True,,,,,,,True,,True,,,True,,,,,,,,True,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garden Grille and Bar,True,,True,,True,True,,False,,True,,True,True,,False,True,,,,,,True,True,,True,,['Market East'],3.9,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,True
Harper's Garden,True,True,True,True,True,True,,False,,True,True,True,True,True,False,True,,True,,,True,True,True,True,True,True,"['Penn Center', 'Rittenhouse Square']",4.0,11:30 AM - 12:00 AM (Next day),11:30 AM - 12:00 AM (Next day),11:30 AM - 12:00 AM (Next day),11:30 AM - 12:00 AM (Next day),11:30 AM - 12:00 AM (Next day),10:00 AM - 12:00 AM (Next day),10:00 AM - 12:00 AM (Next day),True,,True,True,,,,True,True,,True,True,True,,True,True,,,,True,,False,,,,True,,,,True,True,True,True,True,,,,,,,True,,,,,,True,,,True,,,,,,True,,,,,,,,,,,,,,,,,
Jasmine Rice Rittenhouse,True,True,True,True,,True,False,False,False,True,,True,True,,True,True,True,True,,,,,True,,True,True,['Rittenhouse Square'],3.7,1:30 PM - 10:30 PM,1:30 PM - 10:30 PM,1:30 PM - 10:30 PM,1:30 PM - 10:30 PM,1:30 PM - 10:30 PM,3:00 PM - 10:30 PM,3:00 PM - 9:30 PM,True,,,,,,,,True,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,True,
Jomon Japanese BBQ,True,,True,,,True,,True,False,True,True,,,True,False,True,True,True,,,True,True,True,True,,True,['Avenue of the Arts South'],4.2,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:30 PM,12:00 PM - 11:30 PM,12:00 PM - 11:00 PM,True,,,True,,,,True,True,,True,True,True,,,True,,,,True,,False,,True,,,True,True,,True,,True,True,,,,True,,True,True,,,,True,,,,,,,,,,,True,,,,,,,,,,,True,,,True,,,,
Knock Restaurant & Bar,True,,True,,,True,,False,,True,,True,True,,False,True,True,,,,,True,True,True,True,True,['Washington Square West'],3.5,11:00 AM - 12:00 AM (Next day),11:00 AM - 12:00 AM (Next day),11:00 AM - 2:00 AM (Next day),11:00 AM - 12:00 AM (Next day),11:00 AM - 2:00 AM (Next day),11:00 AM - 2:00 AM (Next day),11:00 AM - 12:00 AM (Next day),True,,,,True,True,True,True,True,,,,,,,True,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koto Sushi,True,True,True,True,True,True,,,,True,,,True,True,True,True,,True,,,,,True,,True,True,['Jewelers&#x27; Row'],4.6,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:30 PM,3:30 PM - 9:30 PM,3:30 PM - 9:00 PM,True,True,True,True,,,,,True,,,True,,True,,True,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
La Famiglia Ristorante,True,True,True,,True,True,,,,True,,True,,,False,True,True,True,,True,,True,True,,True,True,['Old City'],3.8,Closed,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,Closed,,,,True,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,True,True,True,,,,,,True,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Fontana Della Citta,True,True,True,,True,True,,,,True,,True,True,True,False,True,True,True,,,,,True,,True,True,['Rittenhouse Square'],2.9,11:30 AM - 11:00 PM,11:30 AM - 11:00 PM,11:30 AM - 11:00 PM,11:30 AM - 11:00 PM,11:30 AM - 11:00 PM,4:00 PM - 11:00 PM,2:00 PM - 10:00 PM,True,,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
La Nonna,True,,True,,,False,False,False,False,True,,,True,True,True,True,True,True,,True,,,True,True,True,True,"['South Street District', 'Society Hill']",4.5,Closed,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 9:00 PM,True,,,True,,,,,,,,,,True,,,,,,,,False,,True,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
La Viola Bistro,True,True,True,,True,False,,,,True,,True,,True,False,True,True,True,,,,,True,,True,True,['Rittenhouse Square'],3.7,Closed,11:00 AM - 3:00 PM,11:00 AM - 3:00 PM,11:00 AM - 3:00 PM,11:00 AM - 3:00 PM,5:00 PM - 11:00 PM,4:00 PM - 10:00 PM,,,,True,,,,,True,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
La Viola Ovest,True,True,True,,True,True,False,False,,True,,True,True,True,False,True,True,True,,,,,True,,True,True,['Rittenhouse Square'],3.5,11:00 AM - 3:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 11:00 PM,5:00 PM - 11:00 PM,4:00 PM - 10:00 PM,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
Lacroix,True,True,,True,True,True,False,False,,,,True,,,False,True,,,,True,,True,True,,True,True,['Rittenhouse Square'],4.3,6:30 AM - 10:00 PM,6:30 AM - 10:00 PM,6:30 AM - 10:00 AM,6:30 AM - 10:00 AM,6:30 AM - 10:00 AM,6:30 AM - 10:00 AM,6:30 AM - 10:00 AM,,,,,,,,,,,,,,True,,,,True,True,,,,,,,True,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaScala's Fire,,,,,True,,,,,True,,,,,,,,,True,,,,True,,,,,3.6,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 9:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libertine,True,True,True,,,True,,False,,True,True,True,True,True,True,True,True,True,,True,True,True,True,,True,True,['Washington Square West'],4.1,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 11:00 PM,10:30 AM - 3:00 PM,10:30 AM - 3:00 PM,True,,,True,,,True,,,,True,,,,True,,,,,,,,,,,,True,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malbec Argentine Steakhouse,True,True,True,,True,True,,,,True,True,True,True,True,True,True,True,True,,True,True,True,True,,True,True,['Society Hill'],4.2,Closed,4:00 PM - 9:00 PM,4:00 PM - 9:00 PM,4:00 PM - 9:00 PM,4:00 PM - 10:00 PM,1:00 PM - 10:00 PM,1:00 PM - 7:30 PM,,,,True,,,,True,,,,True,True,,True,True,,,,True,,,,,,,True,,,,,True,True,True,,,,,,,,,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
McCormick & Schmick's,True,True,True,,,True,,False,,True,,,True,True,True,True,True,,,True,True,True,True,,True,True,"['Penn Center', 'Avenue of the Arts South']",2.6,11:30 AM - 9:00 PM,11:30 AM - 9:00 PM,11:30 AM - 9:00 PM,11:30 AM - 9:00 PM,11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,11:30 AM - 9:00 PM,,,,True,,,,,,,True,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melograno BYOB,True,,True,,,True,,False,False,True,,True,True,True,False,True,True,True,True,,,,True,True,True,True,"['Rittenhouse Square', 'Penn Center']",3.7,Closed,5:30 PM - 10:00 PM,5:30 PM - 10:00 PM,5:30 PM - 10:00 PM,5:30 PM - 10:00 PM,5:30 PM - 10:00 PM,5:00 PM - 9:00 PM,,,,True,,,,,True,,True,True,,True,,True,,,,,,False,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
Mercato,True,True,True,True,True,True,False,False,,True,,True,True,True,True,True,True,True,,,,,True,True,True,True,['Washington Square West'],3.9,4:00 PM - 9:00 PM,4:00 PM - 9:00 PM,4:00 PM - 9:00 PM,4:00 PM - 9:00 PM,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 9:00 PM,,,,True,,,,,True,,,,,True,,,,,,,,,,,,,,,,,,,True,,,,,,True,True,,,,,False,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
Monster Vegan,True,True,True,True,,True,,,,True,True,,True,True,False,True,True,True,,,True,True,True,,,True,['Washington Square West'],4.5,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 11:00 PM,12:00 PM - 3:00 PM,Closed,True,,,True,,,,,,,,True,True,,,True,,,,,,False,,,,,,,,,,,True,,,,,,,,,,,True,False,,,,,,,,,,,True,,,,,,,,True,,,,,,,,,
Morea,True,True,True,,,True,,,,True,,True,True,True,True,True,True,,,,True,True,,True,,,,4.0,4:00 PM - 12:00 AM (Next day),4:00 PM - 12:00 AM (Next day),4:00 PM - 12:00 AM (Next day),4:00 PM - 12:00 AM (Next day),10:30 AM - 1:00 AM (Next day),10:00 AM - 1:00 AM (Next day),10:00 AM - 11:00 PM,True,,,True,True,,,,,,,True,,,,,,,,,,,,,,,True,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
The Morris,,,True,,,True,,,,True,,,,,True,,,,,True,,True,True,,,True,['Washington Square West'],,4:00 PM - 9:00 PM,4:00 PM - 9:00 PM,4:00 PM - 9:00 PM,4:00 PM - 9:00 PM,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 9:00 PM,,,,True,,,,,,,True,True,True,,,True,,,,,,,,True,,,,,,,True,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
Moshulu,True,True,True,True,True,True,,False,False,True,,True,True,,True,True,True,True,,True,True,True,True,,True,True,['Penn&#x27;s Landing'],3.5,4:00 PM - 9:00 PM,4:00 PM - 9:00 PM,4:00 PM - 9:00 PM,4:00 PM - 9:00 PM,4:00 PM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 8:00 PM,,,,True,True,True,True,True,,,True,True,True,,True,True,,,,True,,False,,,,,,,,,True,True,,True,,True,,,True,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ocean Prime,True,True,True,,True,True,,False,,True,,True,True,,False,True,True,,,True,True,True,True,,True,True,"['Penn Center', 'Avenue of the Arts South', 'Rittenhouse Square']",4.1,4:00 PM - 9:00 PM,4:00 PM - 9:00 PM,4:00 PM - 9:00 PM,4:00 PM - 9:00 PM,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 9:00 PM,,,,,,,,,,,,,,,,,,,True,,,False,,,,,,,,,,,,True,True,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oloroso Tapas and Sherry Bar,True,,True,,True,True,,,,True,,True,True,,,True,True,True,,,True,True,True,True,True,,,4.1,Closed,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,True,,,True,,,True,True,True,,True,,,,,,,,,True,,,,True,,,,,,,True,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,
Osteria,True,True,True,True,True,True,,False,False,True,,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,"['Avenue of the Arts North', 'Fairmount']",4.0,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,4:00 PM - 9:00 PM,,,,True,,True,,,,,True,,,,True,True,,,,True,True,,,,,,,,,,,True,,,,,,,,True,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
Osteria Ama Philly,,True,True,,,,,,,,,,,,,,,,,,,,,,,,"['Penn Center', 'Rittenhouse Square']",4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oyster House,True,True,True,True,,True,False,False,,True,True,,True,,False,True,True,True,True,,True,True,True,True,True,True,"['Penn Center', 'Rittenhouse Square']",4.2,Closed,11:30 AM - 9:00 PM,11:30 AM - 9:00 PM,11:30 AM - 9:00 PM,11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,Closed,,,,True,,,,,True,,True,,,,,,,,,,,False,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panorama,True,True,True,True,True,True,,False,,True,,True,,,False,True,True,True,,True,True,True,True,,True,True,['Old City'],3.7,Closed,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 10:00 PM,3:00 PM - 10:00 PM,3:00 PM - 9:00 PM,,,,True,,True,True,,,,True,True,True,,True,True,,True,,True,,,,,,,,,,,,True,True,,,True,,,True,,,True,,True,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
Picanha Brazilian Steakhouse,True,True,True,True,True,True,False,False,False,True,,True,True,True,True,True,,True,,True,True,True,True,,,True,['Washington Square West'],4.0,4:00 PM - 10:30 PM,4:00 PM - 10:30 PM,4:00 PM - 10:30 PM,4:00 PM - 10:30 PM,4:00 PM - 10:30 PM,11:30 AM - 10:30 PM,11:00 AM - 9:00 PM,,True,True,True,,,,,,,True,,,,,,,,,,,False,,,,,,,,,,,,,,,,True,True,,,,True,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,True,
Porcini,True,True,True,,True,True,,False,,True,,,True,True,False,,True,True,,True,,,True,,True,True,"['Rittenhouse Square', 'Penn Center']",3.7,5:00 PM - 8:30 PM,5:00 PM - 9:30 PM,5:00 PM - 9:30 PM,5:00 PM - 9:30 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,True,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,True,,,,,,,,
Pumpkin BYOB,True,True,True,True,,True,True,True,False,True,,,True,,False,,True,True,,,,,True,True,True,True,['Rittenhouse Square'],4.1,Closed,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,,,,True,,,,,True,,True,,,True,,,,,,,,False,,,True,,True,,,,,,True,,,,,,True,,,,,,,,,,,,,True,,,,,,,,,,,,,True,,,,,,,True,
Restaurant Aleksandar,True,True,True,,,True,,,,True,,,,,False,,,,,True,True,True,True,True,,True,"['Rittenhouse Square', 'Penn Center']",4.0,Closed,11:30 AM - 2:30 PM,11:30 AM - 2:30 PM,11:30 AM - 2:30 PM,11:30 AM - 2:30 PM,10:00 AM - 3:00 PM,10:00 AM - 3:00 PM,True,,,True,,,,,,,,True,True,,,True,,,,,,,,,,,,,,,True,,,True,,,,,True,True,,,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rex at The Royal,True,True,True,True,,True,False,False,False,True,,,True,,True,True,True,True,,True,True,True,True,True,True,True,['Rittenhouse Square'],4.3,Closed,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 11:00 PM,5:00 PM - 11:00 PM,11:00 AM - 2:30 PM,,,,True,,,,,,,True,True,,,,True,,,,,,,,,,,True,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarpetta Philadelphia,True,,,True,True,True,False,False,False,True,,True,,,False,True,True,True,,True,True,True,True,True,True,True,['Rittenhouse Square'],4.0,5:00 PM - 9:30 PM,5:00 PM - 9:30 PM,5:00 PM - 9:30 PM,5:00 PM - 9:30 PM,5:30 PM - 10:30 PM,5:30 PM - 10:30 PM,Closed,,,,True,,,,,,,True,True,True,,,True,,,True,,,False,True,True,,,,True,,,True,,,,True,,,,,,,True,,True,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
