BUSINESS,BUSINESS_TAGS,OCCURRENCE_TYPES,NEIGHBORHOOD,ADDRESS_STREET,ADDRESS_UNIT,ADDRESS_CITY,ADDRESS_STATE,ADDRESS_ZIP,Full Address,Latitude,Longitude,TIME,WEEKDAY,PRIZE_1_TYPE,PRIZE_1_AMOUNT,PRIZE_2_TYPE,PRIZE_2_AMOUNT,PRIZE_3_TYPE,PRIZE_3_AMOUNT,HOST,EVENT_TYPE
NAKED BREWING COMPANY,BREWERY,,,212 MILL ST,,BRISTOL BOROUGH,PA,19007.0,"212 MILL ST, BRISTOL BOROUGH, PA, 19007",40.0951389,-74.8574916,7:00 PM,TUESDAY,,,,,,,,QUIZZO
NATIONAL MECHANICS,"RESTAURANT,BAR",,OLD CITY,22 S 3RD STREET,,PHILADELPHIA,PA,19106.0,"22 S 3RD STREET, PHILADELPHIA, PA, 19106",39.9495672,-75.1461515,8:00 PM,WEDNESDAY,,,,,,,THE PHILLY QUIZZO,QUIZZO
NEW DECK TAVERN,"RESTAURANT,BAR,IRISH_PUB",,UNIVERSITY CITY,3408 SANSOM ST,,PHILADELPHIA,PA,19104.0,"3408 SANSOM ST, PHILADELPHIA, PA, 19104",39.9534633,-75.1925739,8:00 PM,WEDNESDAY,,,,,,,,QUIZZO
NEW WAVE CAFE,"RESTAURANT,BAR",,BELLA VISTA,784 S 3RD ST,,PHILADELPHIA,PA,19147.0,"784 S 3RD ST, PHILADELPHIA, PA, 19147",39.9381255,-75.148436,8:00 PM,MONDAY,GIFT_CARD,$50,CASH, $25,,,JAWNYQ,QUIZZO
NICK'S ROAST BEEF WOODHAVEN,RESTAURANT,,PARKWOOD,4501 WOODHAVEN RD,,PHILADELPHIA,PA,19154.0,"4501 WOODHAVEN RD, PHILADELPHIA, PA, 19154",40.0964963,-74.9833713,8:00 PM,THURSDAY,,,,,,,,QUIZZO
NITTY'S TAVERN,"RESTAURANT,BAR",,PASSYUNK,1720 W MOYAMENSING AVE,,PHILADELPHIA,PA,19145.0,"1720 W MOYAMENSING AVE, PHILADELPHIA, PA, 19145",39.9149475,-75.1767931,7:00 PM,WEDNESDAY,,,,,,,,QUIZZO
NUT HUT SALOON,,,FISHTOWN,,,,,,,,,8:00 PM,,,,,,,,,
NUTMEG NA BAR,,,E PASSYUNK,,,,,,,,,7:30 PM,,,,,,,,,
O'JUNG'S,,,PENNSPORT,,,,,,,,,7:00 PM,,,,,,,,SJK MEDIA,
ORTLIEB'S ,,,NORTHERN LIBERTIES,,,,,,,,,9:00 PM,,,,,,,,@MINDBENDERTRIVIA,
OTHER HALF,"BREWERY,RESTAURANT",,FISHTOWN,1002 CANAL ST,,PHILADELPHIA,PA,19123.0,"1002 CANAL ST, PHILADELPHIA, PA, 19123",39.9648491,-75.1350634,6:00 PM,WEDNESDAY,,,,,,,,QUIZZO
OUR TOWN TAPROOM,,,FRANCISVILLE,,,,,,,,,7:00 PM,,GIFT_CARD,$25 GC,, ROUND OF DRINKS,, MYSTERY,,
PHILADELPHIA BREWING COMPANY,BREWERY,,EAST KENSINGTON,2440 FRANKFORD AVE,,PHILADELPHIA,PA,19125.0,"2440 FRANKFORD AVE, PHILADELPHIA, PA, 19125",39.9823471,-75.1271578,7:30 PM,TUESDAY,,,,,,,BARRETT,QUIZZO
PIZZA TIME SALOON,"RESTAURANT,BAR",,,1900 W POINT PIKE,,WEST POINT,PA,19486.0,"1900 W POINT PIKE, WEST POINT, PA, 19486",40.205268,-75.300099,8:00 PM,THURSDAY,,,,,,,THE QUIZZO GUYS,QUIZZO
PIZZATA BIRRERIA,,,E PASSYUNK,,,,,,,,,8:15 PM,,,,,,,,JOHNNY GOODTIMES,
PJ WHEILAN'S MAPLE SHADE,"RESTAURANT,BAR",,"MAPLE SHADE, NJ",,,MAPLE SHADE,NJ,,,,,7:00 PM,,,,,,,,THE QUIZ KIDS,QUIZZO
PJ WHELIHANS,"RESTAURANT,BAR",,CONSHOHOCKEN,,,,,,,,,7:00 PM,,,,CONSHOHOCKEN,PA,,,THE QUIZZO GUYS,QUIZZO
PJ'S BLUEBELL,"RESTAURANT,BAR",,,799 DEKALB PIKE,,BLUE BELL,PA,19422.0,"799 DEKALB PIKE, BLUE BELL, PA, 19422",40.1695406,-75.2881996,7:30 PM,WEDNESDAY,,,,,,,THE QUIZZO GUYS,QUIZZO
