BUSINESS,BUSINESS_TAGS,OCCURRENCE_TYPES,NEIGHBORHOOD,ADDRESS_STREET,ADDRESS_UNIT,ADDRESS_CITY,ADDRESS_STATE,ADDRESS_ZIP,Full Address,Latitude,Longitude,TIME,WEEKDAY,PRIZE_1_TYPE,PRIZE_1_AMOUNT,PRIZE_2_TYPE,PRIZE_2_AMOUNT,PRIZE_3_TYPE,PRIZE_3_AMOUNT,HOST,EVENT_TYPE
IMPRINT BEER CO.,"BREWERY,RESTAURANT,ARCADE,CANTINA","SECOND_OF_MONTH,FOURTH_OF_MONTH",,1500 INDUSTRY RD,STE R,HATFIELD,PA,19440.0,"1500 INDUSTRY RD, STE R, HATFIELD, PA, 19440",40.2628979,-75.2827984,7:00 PM,THURSDAY,,,,,,,LUNCH MONEY QUIZZO,QUIZZO
INTERSTATE DRAFTHOUSE,"RESTAURANT,BAR",,FISHTOWN,1235 E PALMER ST,,PHILADELPHIA,PA,19125.0,"1235 E PALMER ST, PHILADELPHIA, PA, 19125",39.9718411,-75.1286626,8:00 PM,TUESDAY,,,,,,,ANXIOUS MILLENIAL QUIZZO,QUIZZO
JARRETTOWN HOTEL,,,DRESHER,1425 Limekiln Pike,,,PA,19025.0,"1425 Limekiln Pike, Dresher, PA 19025",40.1551791,-75.1755824,7:00 PM,,,,,,,,@INTHEMIXBARSCENE,
JERRY'S BAR,"RESTAURANT,BAR",,NORTHERN LIBERTIES,129 W LAUREL ST,,PHILADELPHIA,PA,19123.0,"129 W LAUREL ST, PHILADELPHIA, PA, 19123",39.9651497,-75.1388845,7:00 PM,TUESDAY,GIFT_CARD,$50 GC AND OTHER,,,,,THEPHILLYQUIZZO,QUIZZO
JITTERS,,,WEST CHESTER,146 W Gay St,,,PA,19380.0,"146 W Gay St, West Chester, PA 19380",39.95945581225435,-75.6072994215616,,,,,,,,,MR QUIZZO,
JJ MALLON'S,"RESTAURANT,BAR",,FISHTOWN,36 W GIRARD AVE,,PHILADELPHIA,PA,19123.0,"36 W GIRARD AVE, PHILADELPHIA, PA, 19123",39.9687479,-75.1359462,9:00 PM,WEDNESDAY,,,,,,,,QUIZZO
JOSE PISTOLA'S,"RESTAURANT,BAR",,CENTER CITY,263 S 15TH ST,,PHILADELPHIA,PA,19102.0,"263 S 15TH ST, PHILADELPHIA, PA, 19102",39.9479465,-75.1664047,7:00 PM,MONDAY,,,,,,,,QUIZZO
KELLIANN'S BAR AND GRILL,"RESTAURANT,BAR,IRISH_PUB",,FAIRMOUNT,1549 SPRING GARDEN STREET,,PHILADELPHIA,PA,19130.0,"1549 SPRING GARDEN STREET, PHILADELPHIA, PA, 19130",39.9630257,-75.1645107,8:30 PM,WEDNESDAY,,,,,,,,QUIZZO
KRAFTWORK BAR,"RESTAURANT,BAR",,FISHTOWN,541 E GIRARD AVE,,PHILADELPHIA,PA,19125.0,"541 E GIRARD AVE, PHILADELPHIA, PA, 19125",39.9715104,-75.1273351,7:30 PM,THURSDAY,,,,,,,,QUIZZO
KRICK WUDER SALOON,BAR,,BRIDESBURG,2676 BRIDGE ST,,PHILADELPHIA,PA,19137.0,"2676 BRIDGE ST, PHILADELPHIA, PA, 19137",40.003617,-75.0664363,7:00 PM,WEDNESDAY,,,,,,,THEPHILLYCAPTAIN,QUIZZO
