BUSINESS,BUSINESS_TAGS,OCCURRENCE_TYPES,NEIGHBORHOOD,ADDRESS_STREET,ADDRESS_UNIT,ADDRESS_CITY,ADDRESS_STATE,ADDRESS_ZIP,Full Address,Latitude,Longitude,TIME,WEEKDAY,PRIZE_1_TYPE,PRIZE_1_AMOUNT,PRIZE_2_TYPE,PRIZE_2_AMOUNT,PRIZE_3_TYPE,PRIZE_3_AMOUNT,HOST,EVENT_TYPE
NICK'S ROAST BEEF COTTMAN,RESTAURANT,,NORTHEAST PHILADELPHIA,2210 COTTMAN AVE,,PHILADELPHIA,PA,19149.0,"2210 COTTMAN AVE, PHILADELPHIA, PA, 19149",40.0488597,-75.0620491,8:00 PM,WEDNESDAY,,,,,,,,QUIZZO
OLD ORIGINAL NICK'S ROAST BEEF,RESTAURANT,,WEST PASSYUNK,2149 S 20TH ST,,PHILADELPHIA,PA,19145.0,"2149 S 20TH ST, PHILADELPHIA, PA, 19145",39.9244591,-75.1792806,8:00 PM,TUESDAY,,,,,,,,QUIZZO
SIDE CAR BAR,"RESTAURANT,BAR",,GRADUATE HOSPITAL,2201 CHRISTIAN ST,,PHILADELPHIA,PA,19146.0,"2201 CHRISTIAN ST, PHILADELPHIA, PA, 19146",39.9418395,-75.179463,8:00 PM,SUNDAY,,,,,,,3WAYQUIZZO,QUIZZO
INTERSTATE DRAFTHOUSE,"RESTAURANT,BAR",,FISHTOWN,1235 E PALMER ST,,PHILADELPHIA,PA,19125.0,"1235 E PALMER ST, PHILADELPHIA, PA, 19125",39.9718411,-75.1286626,8:00 PM,TUESDAY,,,,,,,ANXIOUS MILLENIAL QUIZZO,QUIZZO
MIFFLIN TAVERN,"RESTAURANT,BAR",,PENNSPORT,1843 S 2ND ST,,PHILADELPHIA,PA,19148.0,"1843 S 2ND ST, PHILADELPHIA, PA, 19148",39.924378,-75.1498531,6:30 PM,TUESDAY,,,,,,,DJ DENIM,QUIZZO
MIFFLIN TAVERN,"RESTAURANT,BAR",,PENNSPORT,1843 S 2ND ST,,PHILADELPHIA,PA,19148.0,"1843 S 2ND ST, PHILADELPHIA, PA, 19148",39.924378,-75.1498531,6:30 PM,TUESDAY,,,,,,,DJ DENIM,QUIZZO
MIFFLIN TAVERN,"RESTAURANT,BAR",,PENNSPORT,1843 S 2ND ST,,PHILADELPHIA,PA,19148.0,"1843 S 2ND ST, PHILADELPHIA, PA, 19148",39.924378,-75.1498531,7:00 PM,TUESDAY,,,,,,,DJ DENIM,QUIZZO
MIFFLIN TAVERN,"RESTAURANT,BAR",,PENNSPORT,1843 S 2ND ST,,PHILADELPHIA,PA,19148.0,"1843 S 2ND ST, PHILADELPHIA, PA, 19148",39.924378,-75.1498531,7:00 PM,TUESDAY,,,,,,,DJ DENIM,QUIZZO
MIFFLIN TAVERN,"RESTAURANT,BAR",,PENNSPORT,1843 S 2ND ST,,PHILADELPHIA,PA,19148.0,"1843 S 2ND ST, PHILADELPHIA, PA, 19148",39.924378,-75.1498531,6:30 PM,THURSDAY,,,,,,,DJ DENIM,QUIZZO
MIFFLIN TAVERN,"RESTAURANT,BAR",,PENNSPORT,1843 S 2ND ST,,PHILADELPHIA,PA,19148.0,"1843 S 2ND ST, PHILADELPHIA, PA, 19148",39.924378,-75.1498531,6:30 PM,THURSDAY,,,,,,,DJ DENIM,QUIZZO
MIFFLIN TAVERN,"RESTAURANT,BAR",,PENNSPORT,1843 S 2ND ST,,PHILADELPHIA,PA,19148.0,"1843 S 2ND ST, PHILADELPHIA, PA, 19148",39.924378,-75.1498531,7:00 PM,THURSDAY,,,,,,,,QUIZZO
MIFFLIN TAVERN,"RESTAURANT,BAR",,PENNSPORT,1843 S 2ND ST,,PHILADELPHIA,PA,19148.0,"1843 S 2ND ST, PHILADELPHIA, PA, 19148",39.924378,-75.1498531,7:00 PM,THURSDAY,,,,,,,,QUIZZO
GREAT AMERICAN PUB (CONSHOHOCKEN),"RESTAURANT,BAR",,,123 FAYETTE ST,,CONSHOHOCKEN,PA,19428.0,"123 FAYETTE ST, CONSHOHOCKEN, PA, 19428",40.0743514,-75.3053081,8:00 PM,WEDNESDAY,,,,,,,DJ GADGET,QUIZZO
PJ'S NEWTOWN SQUARE,"RESTAURANT,BAR",,,4803 WEST CHESTER PIKE,,NEWTOWN SQUARE,PA,19073.0,"4803 WEST CHESTER PIKE, NEWTOWN SQUARE, PA, 19073",39.9767167,-75.4382878,7:30 PM,TUESDAY,,,,,,,DJMUVE,QUIZZO
TIN CAN BAR,"RESTAURANT,BAR",,PORT RICHMOND,2537 E SOMERSET ST,,PHILADELPHIA,PA,19134.0,"2537 E SOMERSET ST, PHILADELPHIA, PA, 19134",39.981572,-75.1135922,6:00 PM,MONDAY,GIFT_CARD,$50 GC,,,,,ELI'S QUIZZO REVIVAL,QUIZZO
THE SHIPYARD BAR,"RESTAURANT,BAR",,PORT RICHMOND,2537 E ONTARIO ST,,PHILADELPHIA,PA,19134.0,"2537 E ONTARIO ST, PHILADELPHIA, PA, 19134",39.9887699,-75.0994413,7:00 PM,WEDNESDAY,GIFT_CARD,$50 GC,,,,,ELI'S QUIZZO REVIVAL ,QUIZZO
NATIONAL MECHANICS,"RESTAURANT,BAR",,OLD CITY,22 S 3RD STREET,,PHILADELPHIA,PA,19106.0,"22 S 3RD STREET, PHILADELPHIA, PA, 19106",39.9495672,-75.1461515,8:00 PM,WEDNESDAY,,,,,,,THE PHILLY QUIZZO,QUIZZO
THE AMBASSADOR,"RESTAURANT,BAR","SECOND_OF_MONTH,FOURTH_OF_MONTH",KENSINGTON,635 W GIRARD AVE,,PHILADELPHIA,PA,19123.0,"635 W GIRARD AVE, PHILADELPHIA, PA, 19123",39.9708105,-75.1479598,8:00 PM,TUESDAY,GIFT_CARD,$50 GC,,,,,HTOTHEQUIZZO,MUSIC
HILLTOWN TAVERN,"RESTAURANT,BAR",,FAIRMOUNT,795 N 24TH ST,,PHILADELPHIA,PA,19130.0,"795 N 24TH ST, PHILADELPHIA, PA, 19130",39.9698013,-75.1762835,8:00 PM,THURSDAY,,,,,,,HTOTHEQUIZZO,MUSIC_QUIZZO
HILLTOWN TAVERN,"RESTAURANT,BAR",,FAIRMOUNT,795 N 24TH ST,,PHILADELPHIA,PA,19130.0,"795 N 24TH ST, PHILADELPHIA, PA, 19130",39.9698013,-75.1762835,8:30 PM,TUESDAY,,,,,,,SETH,QUIZZO
SUTTON'S,"RESTAURANT,BAR",,KENSINGTON,1706 N 5TH ST,,PHILADELPHIA,PA,19122.0,"1706 N 5TH ST, PHILADELPHIA, PA, 19122",39.9771583,-75.1436783,8:00 PM,WEDNESDAY,GIFT_CARD,$50,CASH, $25,,,JAWNYQ,QUIZZO
NEW WAVE CAFE,"RESTAURANT,BAR",,BELLA VISTA,784 S 3RD ST,,PHILADELPHIA,PA,19147.0,"784 S 3RD ST, PHILADELPHIA, PA, 19147",39.9381255,-75.148436,8:00 PM,MONDAY,GIFT_CARD,$50,CASH, $25,,,JAWNYQ,QUIZZO
STRANGELOVE'S,"RESTAURANT,BAR",,CENTER CITY,216 S 11TH STREET,,PHILADELPHIA,PA,19107.0,"216 S 11TH STREET, PHILADELPHIA, PA, 19107",39.9480826,-75.1592322,8:00 PM,MONDAY,GIFT_CARD,$40 GC,,,,,JB,QUIZZO
ERA,"RESTAURANT,BAR",,BREWERYTOWN,2743 POPLAR ST,,PHILADELPHIA,PA,19130.0,"2743 POPLAR ST, PHILADELPHIA, PA, 19130",39.9731507,-75.1819923,8:30 PM,WEDNESDAY,,,,,,,JB,QUIZZO
JOHN HENRY ARDMORE,"RESTAURANT,BAR",,,98 CRICKET AVE,,ARDMORE,PA,19003.0,"98 CRICKET AVE, ARDMORE, PA, 19003",40.0067884,-75.2932395,9:00 PM,FRIDAY,,,,,,,JOHNNY CHEESETEAK,QUIZZO
FOUNDING FATHERS,"RESTAURANT,BAR",,SOUTH STREET,1612 SOUTH ST,,PHILADELPHIA,PA,19146.0,"1612 SOUTH ST, PHILADELPHIA, PA, 19146",39.9440071,-75.1690906,8:00 PM,TUESDAY,,,,,,,JOHNNY GOODTIMES,QUIZZO
LASCALA'S BIRRA,"RESTAURANT,BAR",,PASSYUNK,1700 E PASSYUNK AVE,,PHILADELPHIA,PA,19148.0,"1700 E PASSYUNK AVE, PHILADELPHIA, PA, 19148",39.9286303,-75.165139,8:00 PM,THURSDAY,,,,,,,JOHNNY GOODTIMES,QUIZZO
DELI AT DWELL,"RESTAURANT,BAR",,FISHTOWN,1301 N AMERICAN ST,,PHILADELPHIA,PA,19122.0,"1301 N AMERICAN ST, PHILADELPHIA, PA, 19122",39.971168,-75.13998,7:00 PM,THURSDAY,,,,,,,JOHNNY GOODTIMES,QUIZZO
UNION TAP HOUSE,"RESTAURANT,BAR",,MANAYUNK,4801 UMBRIA ST,,PHILADELPHIA,PA,19127.0,"4801 UMBRIA ST, PHILADELPHIA, PA, 19127",40.0326041,-75.232367,7:30 PM,WEDNESDAY,GIFT_CARD,$50,,,,,JUSTIN CREDIBLE,QUIZZO
MAGGIE'S WATERFRONT CAFE,"RESTAURANT,BAR",,TORRESDALE,9242 DELAWARE AVE,,PHILADELPHIA,PA,19114.0,"9242 DELAWARE AVE, PHILADELPHIA, PA, 19114",40.0436656,-74.9896264,8:00 PM,WEDNESDAY,,,,,,,KATIE DAVIS,QUIZZO
