BUSINESS,TIME,WEEKDAY,NEIGHBORHOOD,PRIZE_1_AMOUNT,HOST,Full Address,EVENT_TYPE
MANYUNK BREWING CO,8:30 PM,FRIDAY,MANAYUNK,,@QUIZZOBYSEAN,"MANAYUNK, PHILADELPHIA, PA",QUIZZO
SIDE CAR BAR,8:00 PM,SUNDAY,GRAD HOSPITAL,,3WAYQUIZZO,"22ND AND CHRISTIAN , PHILADELPHIA, PA",QUIZZO
LOCAL 44,10:00 PM,SUNDAY,WEST PHILLY,,,"WEST PHILLY, PHILADELPHIA, PA",QUIZZO
LANDMARK AMERICANA,7:00 PM,MONDAY,"GLASSBORO, NJ",X,,"GLASSBORO, NJ, PHILADELPHIA, PA",QUIZZO
HURRICANE JACKS,7:00 PM,MONDAY,LEVITTOWN,,IN THE MIX BAR SCENE,"LEVITTOWN, PA",QUIZZO
SCHILEEN'S IRISH PUB,8:00 PM,MONDAY,"WESTVILLE, NJ",,THE QUIZ KIDS,WESTVILLE NJ,QUIZZO
LANSDALE TAVERN,7:30 PM,MONDAY,LANSDALE,X,,"LANSDALE, PA",QUIZZO
VAULT BREWING,7:00 PM,MONDAY,YARDLEY,,LUNCH MONEY QUIZZO,"YARDLEY, PA",QUIZZO
CURRAN'S BENSALEM,7:30 PM,MONDAY,BENSALEM,,LUNCH MONEY QUIZZO,"1909 BRISTOL PIKE, BENSALEM, PA 19020",QUIZZO
PJ WHELIHANS,7:00 PM,MONDAY,CONSHOHOCKEN,,THE QUIZZO GUYS,"CONSHOHOCKEN, PA",QUIZZO
LOCK 29,7:00 PM,MONDAY,MONT CLARE,,,MONT CLARE,QUIZZO
KILDARES,9:00 PM,MONDAY,WEST CHESTER,,,WEST CHESTER,QUIZZO
GRID IRON PHX,7:00 PM,MONDAY,PHOENIXVILLE,,,PHOENIXVILLE,QUIZZO
WORLD OF BEER EXTON,7:00 PM,MONDAY,EXTON,,,"EXTON, PA",QUIZZO
PJ'S PUB HADDON TWP,7:00 PM,TUESDAY,"HADDON TWP, NJ",,,HADDON TWP NJ,QUIZZO
NESHAMINY CREEK BREWING DUBLIN,7:00 PM,TUESDAY,DUBLIN,,LUNCH MONEY QUIZZO,"DUBLIN, PA",QUIZZO
SHEEBEN PUB,7:00 PM,TUESDAY,MEDIA,,MICHAEL BARLOW,"MEDIA, PA",QUIZZO
SALOON 151,8:00 PM,TUESDAY,WEST CHESTER,,DJ ROMEO,"WEST CHESTER, PA",QUIZZO
DOLAN'S BAR RIDLEY PARK,8:00 PM,TUESDAY,RIDLEY PARK,,,"24 E SELLERS AVE, RIDLEY PARK, PA 19078",QUIZZO
GAUL AND CO ROCKLEDGE,8:00 PM,TUESDAY,ROCKLEDGE,,,"ROCKLEDGE, PA",QUIZZO
KINGS ROAD,7:00 PM,TUESDAY,"MEDFORD, NJ",,,MEDFORD NJ,QUIZZO
SLIGO,8:00 PM,TUESDAY,MEDIA,,,"MEDIA, PA",QUIZZO
PUDDLERS KITCHEN & TAP,7:00 PM,TUESDAY,BRIDGEPORT,,@QUIZZOBYSEAN,"BRIDGEPORT, PA",QUIZZO
OLD ORIGINAL NICK'S ROAST BEEF,8:00 PM,TUESDAY,SPRINGFIELD,,,"SPRINGFIELD, PA",QUIZZO
FOUNDING FATHERS,7:30 PM,TUESDAY,BENSALEM,,,"BENSALEM, PA",QUIZZO
