Name,Address,SIPS_URL,Website
Strangelove's,"1112 Chestnut Street, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#strangeloves,http://strangelovesbeerbar.com
Sueno,"114 S. 12th St., Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#sueno,http://suenophilly.com
Sura Indian Bistro,"1726 Chestnut St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#sura-indian-bistro,https://www.surabistro.com
Taste Cheesesteak Bar,"1809 John F Kennedy Blvd, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#taste-cheesesteak-bar,https://www.tastecheesesteaks.com
Thanal Indian Tavern,"1939 Arch St. Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#thanal-indian-tavern,https://www.thanalphilly.com
Thirteen Restaurant,"1201 Market Street, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#thirteen-restaurant,http://philadelphiamarriottdowntown.ipoolside.com
Tir Na Nog Irish Bar & Grill,"1600 Arch St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#tir-na-nog-irish-bar-grill,http://www.tirnanogphilly.com
Top Tomato Bar & Pizza,"116 S 11th St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#top-tomato-bar-pizza,https://www.toptomatophilly.com
Topside Tavern,"10 S 20th St. Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#topside-tavern,http://www.topsidetavern.com
Tradesman's,"1322 Chestnut Street, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#tradesman-s,https://tradesmansphl.com
Treble & Bass,"219 S Broad Street, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#treble-bass,https://www.cambriaphiladelphia.com/en-us/dining
Umami Steak and Sushi Bar,"727 Walnut St, Philadelphia, PA 19106",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#umami-steak-and-sushi-bar,https://umamisteakandsushi.com
Uptown Beer Garden,"1500 John F Kennedy Blvd, Philadelphia, PA 19102",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#uptown-beer-garden,http://www.uptownbeer.com
Veda - Modern Indian Bistro,"1920 Chestnut St., Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#veda-modern-indian-bistro,http://vedaphilly.com
Via Locusta,"1723 Locust St,  Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#via-locust,https://www.vialocusta.com
Village Whiskey,"118 S 20th St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#village-whiskey,http://www.villagewhiskey.com
Vinyl,"215 S 15th St, Philadelphia, PA 19102",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#vinyl,https://www.vinylphilly.com
Walnut Garden,"1708 Walnut Street, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#walnut-garden,https://www.walnutphl.com
Wicked Wolf,"1214-1216 Chestnut St., Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#wicked-wolf,http://wicketwolfphiladelphia.com
